%time,field.data
1449190643294809737,658035
1449190643323731010,615120
1449190643366136399,311851
1449190643420398603,1557111
1449190643471832515,772953
1449190643554423178,5714893
1449190643565786355,297070
1449190643619078323,998974
1449190643672369733,2002955
1449190643718603822,774146
1449190643772521010,1032114
1449190643876388961,27435064
1449190643877482396,257015
1449190643915259263,253916
1449190643965496652,293016
1449190644020821003,1762867
1449190644074305176,306845
1449190644123199099,3427982
1449190644166942089,550986
1449190644227474082,1205921
1449190644269809911,1029968
1449190644396862651,426054
1449190644396904835,581980
1449190644416739198,264168
1449190644473047753,1703024
1449190644515776927,338078
1449190644565339372,273943
1449190644705588477,1227856
1449190644706373213,327825
1449190644716439022,205994
1449190644769373402,1015902
1449190644816158679,398874
1449190644865365771,207901
1449190644986528106,313044
1449190644986543751,180960
1449190645017724799,369072
1449190645070661695,385046
1449190645122962477,1053810
1449190645171124743,940085
1449190645219284216,1174212
1449190645302483058,816107
1449190645390251759,1758099
1449190645414823306,439882
1449190645416247790,369072
1449190645468570089,288963
1449190645523330678,3643990
1449190645571244590,1732827
1449190645617023873,1039028
1449190645671428552,1112938
1449190645717433003,1080990
1449190645767809517,540018
1449190645818440812,518084
1449190645881455246,1055002
1449190645932873234,8224011
1449190645966535053,341177
1449190646016385522,345946
1449190646065508526,310898
1449190646122377207,1173973
1449190646179010104,278950
1449190646216383847,346899
1449190646281476199,1439094
1449190646318798259,2089978
1449190646390045863,424861
1449190646420121474,442981
1449190646466967371,360966
1449190646524518261,620127
1449190646570339168,1098871
1449190646735502333,414848
1449190646736570347,365972
1449190646737622437,269174
1449190646771983790,880957
1449190646821459632,1924038
1449190646880789519,4348993
1449190646917980558,297070
1449190646967184017,376940
1449190647021739276,1785994
1449190647065908577,438929
1449190647119900077,141143
1449190647169923752,1243114
1449190647216563200,289917
1449190647266449428,270129
1449190647388678918,1321077
1449190647394051394,272036
1449190647415391263,264167
1449190647469442265,1007080
1449190647516159097,277997
1449190647567684642,398159
1449190647650396829,2552032
1449190647675003027,343800
1449190647716478411,399828
1449190647875906256,86980820
1449190647876855812,506878
1449190647878009024,339985
1449190647918987672,290871
1449190647970271002,1167774
1449190648016328811,286102
1449190648069740627,360012
1449190648122094768,1052141
1449190648207119820,272989
1449190648235523708,264883
1449190648265364932,271082
1449190648320169105,1213074
1449190648447177705,457048
1449190648447229387,380992
1449190648531295675,304937
1449190648533587303,328064
1449190648572858762,1644850
1449190648625355656,309944
1449190648714375359,1829862
1449190648716422546,426054
1449190648766983154,313044
1449190648821436723,1457930
1449190648868297148,656843
1449190648937664066,1626968
1449190648977133048,334978
1449190649015921498,262976
1449190649065723637,334025
1449190649121558946,1020194
1449190649168115422,344992
1449190649220013917,632048
1449190649271067333,1456022
1449190649316652456,386953
1449190649366180259,295877
1449190649419954410,1783847
1449190649470970951,976086
1449190649519191605,1280070
1449190649565666507,384093
1449190649621083047,467062
1449190649666011382,293971
1449190649723100203,1219988
1449190649861931813,1005888
1449190649862502277,303984
1449190649866017249,517845
1449190649915504545,280857
1449190649965746683,229120
1449190650024513091,2230883
1449190650069220728,570059
1449190650118156557,560999
1449190650168494799,682116
1449190650222735492,1322985
1449190650270506088,1297951
1449190650317678564,494003
1449190650368404844,728131
1449190650430335620,573159
1449190650465205972,157118
1449190650595762789,1538038
1449190650599963604,279188
1449190650618957357,304938
1449190650665727828,293970
1449190650775010708,515938
1449190650776216728,527144
1449190650819843503,1168013
1449190650875481860,335932
1449190650916568086,318051
1449190650971575358,1276017
1449190651026312761,1728058
1449190651069224918,719071
1449190651118938220,734091
1449190651168983130,906944
1449190651227523529,1614093
1449190651266554747,301123
1449190651355146171,1304149
1449190651369983536,283003
1449190651419517484,792026
1449190651470899153,1046180
1449190651531761640,3158092
1449190651569508893,1011848
1449190651615684037,280857
1449190651668253009,962019
1449190651746481384,584840
1449190651781868849,287771
