%time,field.data
1449189051133838063,1649856
1449189051185680964,1482963
1449189051228306493,351906
1449189051278150538,207186
1449189051328130633,267028
1449189051395434718,1041889
1449189051456500021,489950
1449189051478558131,285864
1449189051534617490,1646996
1449189051605897221,786066
1449189051652795640,236988
1449189051679277217,241995
1449189051735276793,1652003
1449189051780159592,431061
1449189051859555438,637054
1449189051878131261,252962
1449189051928144882,239134
1449189051983201320,1458883
1449189052030575218,746012
1449189052116888144,364065
1449189052128602202,370026
1449189052178136429,266075
1449189052230414583,272036
1449189052415527213,971079
1449189052415567162,484943
1449189052416720941,48876
1449189052429049606,567913
1449189052485126006,895977
1449189052538178001,1584053
1449189052607783213,1430989
1449189052631247091,304222
1449189052678099694,263929
1449189052732782343,958919
1449189052837116276,362158
1449189052838696364,494957
1449189052878320392,287056
1449189052933910977,1492024
1449189052984635023,1189947
1449189053028262634,274896
1449189053078290221,257015
1449189053133436057,589848
1449189053245911248,1358033
1449189053246624466,667095
1449189053278915161,282049
1449189053334462443,1296043
1449189053380828672,544786
1449189053429297123,439882
1449189053492509345,540972
1449189053532306024,1027822
1449189053578109890,250101
1449189053633798533,964165
1449189053685674120,1307011
1449189053735267014,2014160
1449189053786094425,1461029
1449189053828614354,263929
1449189053948466736,298977
1449189053948484615,176906
1449189053978400989,302076
1449189054028495345,258923
1449189054080308634,380993
1449189054129026558,357866
1449189054205916777,18557072
1449189054229925973,241041
1449189054284347973,867844
1449189054335215611,2255916
1449189054380237813,627994
1449189054430954316,521183
1449189054493065283,1339912
1449189054528378709,243902
1449189054582897928,793934
1449189054633993808,2995968
1449189054678118969,272989
1449189054754461634,1708030
1449189054777700899,236988
1449189054837800715,191927
1449189054881081636,227929
1449189054936897950,110865
1449189054987142602,283002
1449189055178688726,833988
1449189055181421757,928878
1449189055230667129,250816
1449189055288303504,837088
1449189055340312907,1255036
1449189055380686474,266076
1449189055444459105,1023054
1449189055496982820,347137
1449189055533373199,483036
1449189055656590254,408173
1449189055657930369,357866
1449189055680217561,222921
1449189055737242126,986099
1449189055787982934,971079
1449189055834027333,293970
1449189055881337536,499010
1449189055992776562,431060
1449189055993866923,463009
1449189056031213289,357866
1449189056081397320,258923
1449189056130805274,319004
1449189056181062500,242948
1449189056237147841,856877
1449189056281584214,307083
1449189056424060702,63943863
1449189056425854226,469208
1449189056435873658,299215
1449189056481479732,311137
1449189056537573733,893116
1449189056585975135,1003027
1449189056631005718,243187
1449189056688099009,1039982
1449189056734878138,1445055
1449189056780702956,293971
1449189056830582202,305891
1449189056975403129,394821
1449189057038623446,361920
1449189057046916400,4567862
1449189057058231525,4485130
1449189057087123465,880003
1449189057131689466,499964
1449189057276371000,301122
1449189057276426034,145197
1449189057281238083,429153
1449189057330565579,72956
1449189057385207999,931979
1449189057456238533,23504972
1449189057482344926,364065
1449189057539011066,1811027
1449189057586232152,1698017
1449189057633404347,814915
1449189057680613421,256061
1449189057734523345,979900
1449189057814979102,5926133
1449189057845918508,330925
1449189057880429319,260115
1449189057930387902,171900
1449189057987957511,2038002
1449189058030927776,263930
1449189058086298222,1099825
1449189058131998165,375032
1449189058185558044,1724005
1449189058233647955,447988
1449189058280477090,281096
1449189058337076463,958919
1449189058384266819,533820
1449189058433233378,516891
1449189058595163160,360012
1449189058596472268,277996
1449189058597487762,322818
1449189058630226010,269175
1449189058689106679,1482009
1449189058736990976,916004
1449189058781834386,270129
1449189058832492780,294208
1449189058915740230,1359939
1449189058956141179,259876
1449189058980477231,82016
1449189059047435740,885963
1449189059082811464,432969
1449189059132136448,58889
1449189059182028265,493050
1449189059234477947,894070
1449189059324382671,34412861
1449189059365349888,1064062
1449189059407864789,244141
1449189059431086456,95129
1449189059481435592,328064
1449189059537234303,1068115
1449189059583379554,368834
1449189059634765694,953913
1449189059681493419,415087
1449189059732387597,263929
1449189059879528936,281095
1449189059882977415,359059
1449189059883917478,325918
1449189059930717275,182867
1449189059986277408,933170
1449189060034092705,1319170
1449189060158384463,455856
1449189060160766895,502825
1449189060181196317,227928
1449189060230567395,133991
1449189060285402576,1677990
1449189060394591314,2253055
1449189060394710882,787973
1449189060432703142,332117
1449189060490528926,2337217
1449189060535368145,905991
1449189060636518420,390768
1449189060638453027,460863
1449189060681602092,909090
1449189060738241135,1384020
1449189060788270679,1621961
1449189060833561908,483036
1449189060884464749,862837
1449189060953010331,1132011
1449189061055931512,701905
1449189061093461979,499010
1449189061094746780,365972
1449189061130970098,95129
1449189061190474869,2110005
1449189061234969351,1389980
1449189061280306398,264883
1449189061332531192,372887
1449189061384535286,1070022
1449189061430736410,581026
1449189061487820761,1293183
1449189061533493326,798940
1449189061588752024,469923
1449189061636269516,909805
1449189061751680557,14379978
1449189061754863363,388145
1449189061780808556,242949
1449189061830256741,78917
1449189061888447377,905990
1449189061930943001,241995
1449189061986410945,1832009
1449189062035450138,473022
1449189062081670816,380993
1449189062131318467,413894
1449189062186824126,548840
1449189062240278964,1210213
1449189062286266094,870943
1449189062333700615,880003
1449189062396260521,854969
1449189062442942993,575066
1449189062483559326,407934
1449189062555786386,391960
1449189062580968353,9059
1449189062637486710,1181126
1449189062688494868,1372814
1449189062746164768,2121925
1449189062787129192,951052
1449189062833969783,375986
1449189062883339744,874997
1449189062965566395,235795
1449189062981584912,92984
1449189063031074442,323057
1449189063092826425,1397132
1449189063130482607,289917
1449189063187583439,1142979
1449189063232294429,300884
1449189063281058727,437021
1449189063331070391,481129
1449189063397193042,975132
1449189063434929681,1036168
1449189063573847896,9464025
1449189063575777192,391007
1449189063580790956,449181
1449189063630227965,212193
1449189063689852025,856876
1449189063750432629,1307964
1449189063781411147,318051
1449189063836845567,830174
1449189063888486208,1049042
1449189063934250405,815868
1449189063980650156,284911
1449189064048651256,823021
1449189064081986499,494003
1449189064131038822,309229
1449189064181417015,257015
1449189064230467941,62942
1449189064297237321,926017
1449189064330085349,176907
